City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Sabha,LY,27.0377,14.4283,51.46,37,0,4.61,clear sky
219,Nova Olimpia,BR,-14.7972,-57.2881,76.17,68,84,4.09,broken clouds
220,Lavrentiya,RU,65.5833,-171.0,19.69,92,28,8.86,scattered clouds
221,Udachnyy,RU,66.4167,112.4,-17.55,75,100,20.69,light snow
222,Alugan,PH,12.2188,125.4808,81.97,84,93,13.94,overcast clouds
223,Ipanema,BR,-30.1391,-51.2244,76.01,84,20,14.97,few clouds
224,Veere,NL,51.5483,3.6667,41.0,97,91,8.05,overcast clouds
225,Hobyo,SO,5.3505,48.5268,79.0,77,17,11.07,few clouds
226,Ilulissat,GL,69.2167,-51.1,21.22,86,100,27.63,light snow
227,Surt,LY,31.2089,16.5887,61.66,49,0,11.61,clear sky
228,Konya,TR,38.1667,32.5,35.08,77,94,4.61,overcast clouds
229,Trincomalee,LK,8.5711,81.2335,79.45,78,88,5.21,overcast clouds
230,Calbuco,CL,-41.768,-73.1273,56.41,64,0,15.88,clear sky
231,Goderich,CA,43.7501,-81.7165,34.12,60,100,28.77,overcast clouds
232,Gazli,UZ,40.1333,63.45,30.54,57,62,7.83,broken clouds
233,Hofn,IS,64.2539,-15.2082,47.61,99,100,15.12,overcast clouds
234,Marsala,IT,37.7966,12.4352,53.92,87,20,1.14,few clouds
235,Chernyshevskiy,RU,63.0128,112.4714,-23.96,96,85,4.7,overcast clouds
236,Huarmey,PE,-10.0681,-78.1522,68.27,81,53,7.54,broken clouds
237,Sidvokodvo,SZ,-26.6282,31.4202,60.37,91,1,2.71,clear sky
238,Sovetskiy,RU,61.3614,63.5842,-0.22,98,99,2.66,overcast clouds
239,Guerrero Negro,MX,27.9769,-114.0611,61.99,67,41,13.91,scattered clouds
240,Mapastepec,MX,15.4333,-92.9,77.5,88,21,2.46,few clouds
241,Jining,CN,35.405,116.5814,22.73,18,17,2.42,few clouds
242,Altea,ES,38.5989,-0.0514,56.68,67,100,4.0,overcast clouds
243,Palmer,US,42.1584,-72.3287,57.61,92,100,11.5,overcast clouds
244,Chicama,PE,-7.8447,-79.1469,68.54,77,87,6.17,overcast clouds
245,Loandjili,CG,-4.7561,11.8578,76.3,89,83,3.31,broken clouds
246,Dzerzhinskoye,RU,56.8344,95.2283,-2.2,89,94,14.09,overcast clouds
247,Ushtobe,KZ,45.2514,77.9838,28.63,98,99,4.09,snow
248,Port Hardy,CA,50.6996,-127.4199,32.18,80,75,14.97,broken clouds
249,Katherine,AU,-14.4667,132.2667,79.12,57,98,0.0,overcast clouds
250,Te Anau,NZ,-45.4167,167.7167,59.38,55,82,4.83,broken clouds
251,Raudeberg,NO,61.9875,5.1352,41.86,71,10,9.33,clear sky
252,Saint George,US,37.1041,-113.5841,58.42,25,0,4.0,clear sky
253,Lulea,SE,65.5842,22.1547,32.07,100,100,2.3,overcast clouds
254,Laurel,US,39.0993,-76.8483,54.84,37,40,18.41,scattered clouds
255,Belsand,IN,26.45,85.4,59.36,62,11,6.69,few clouds
256,Saint-Francois,FR,46.4154,3.9054,40.44,93,75,5.75,broken clouds
257,Tianpeng,CN,30.9866,103.9393,39.67,88,99,3.04,overcast clouds
258,Damietta,EG,31.4165,31.8133,66.09,66,0,6.29,clear sky
